SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm
BrC(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1=CC=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,421.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(O)C(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,328.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(C1=CC=C(/N=N/C2=NNC=C2)C=C1)OCC,0.0,0,0.0,0.0,331.0,0.0,0.0,0.0,0.0,0.0,422.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C(C=C1)=CC=C1N=NC2=NNC=C2)=O,0.0,0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[O-][N+](C(C=C1)=CC=C1N=NC2=NNC=C2)=O,0.0,0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,418.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(N=C1)C=C1/N=N/C2=C(F)C=CC=C2F,4.8e-10,DMSO/MeCN,92.0,42.0,316.0,0.0,413.0,0.0,282.0,0.0,400.0,0.0,0.0,UVA,420,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.0,421.0,312.0,467.0
CN(N=C1C)C(C)=C1/N=N/C2=C(F)C=CC=C2F,7.84e-08,MeCN,93.0,77.0,328.0,0.0,425.0,0.0,297.0,0.0,422.0,0.0,0.0,UVA,420,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.0,437.0,317.0,458.0
CN(N=C1C)C(C)=C1/N=N/C2=C(Cl)C=CC=C2Cl,6.95e-06,MeCN,80.0,85.0,328.0,0.0,424.0,0.0,299.0,0.0,425.0,0.0,0.0,UVA,420,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.0,435.0,304.0,441.0
CN(N=C1C)C(C)=C1/N=N/C2=C(OC)C=CC=C2OC,7.22e-08,MeCN,81.0,73.0,307.0,0.0,432.0,0.0,293.0,0.0,426.0,0.0,0.0,UVA,420,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.0,442.0,325.0,466.0
FC1=CC=CC=C1/N=N/C2=C(F)C=CC=C2,1.75037e-05,MeCN at 60C,66.0,82.0,325.0,20000.0,448.0,700.0,275.0,0.0,420.0,1200.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,500.0,322.0,466.0
FC1=CC=CC(F)=C1/N=N/C2=CC=CC=C2,7.70164e-06,MeCN at 60C,74.0,82.0,309.0,20000.0,451.0,700.0,275.0,0.0,419.0,1000.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341.0,498.0,315.0,463.0
FC1=CC=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,2.0928360000000003e-06,MeCN at 60C,86.0,91.0,305.0,18000.0,456.0,1000.0,280.0,0.0,414.0,1600.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0,525.0,326.0,452.0
FC1=CC(F)=CC(F)=C1/N=N/C(C(F)=C2)=C(F)C=C2F,9.6e-06,MeCN at 60C,94.0,91.0,309.0,20000.0,450.0,900.0,280.0,0.0,414.0,1500.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,510.0,310.0,453.0
FC1=C(F)C=C(F)C(F)=C1/N=N/C2=C(F)C(F)=CC(F)=C2F,7.131139999999999e-06,MeCN at 60C,92.0,92.0,303.0,16000.0,456.0,700.0,280.0,0.0,413.0,1200.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,531.0,363.0,439.0
FC1=C(F)C(F)=C(F)C(F)=C1/N=N/C2=C(F)C(F)=C(F)C(F)=C2F,4.1e-05,MeCN at 60C,91.0,90.0,310.0,20000.0,453.0,900.0,0.0,0.0,413.0,1600.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,9.16861e-06,MeCN at 60C,75.0,88.0,316.0,22000.0,453.0,700.0,255.0,0.0,417.0,1000.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,523.0,326.0,471.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=C(C(OCC)=O)C=C2F,1.283606e-05,MeCN at 60C,90.0,97.0,314.0,19000.0,469.0,1000.0,0.0,0.0,419.0,1700.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=C(F)C=CC=C2F,6.41803e-06,MeCN at 60C,95.0,95.0,310.0,19000.0,460.0,1000.0,255.0,0.0,416.0,1700.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,542.0,336.0,460.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,2.4067600000000007e-05,MeCN at 60C,61.0,95.0,320.0,25000.0,460.0,1000.0,255.0,0.0,419.0,1400.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363.0,535.0,325.0,475.0
FC1=CC(C(OCC)=O)=CC(F)=C1/N=N/C2=CC=CC=C2,2.7505840000000006e-05,MeCN at 60C,79.0,89.0,316.0,21000.0,456.0,900.0,255.0,0.0,419.0,1300.0,0.0,>500,410,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,508.0,320.0,468.0
C12=CC=CC=C1CCC3=CC=CC=C3/N=N\2,1.258437e-05,MeCN,100.0,87.0,0.0,0.0,486.0,0.0,0.0,0.0,402.0,0.0,0.0,520,385,hexane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC1=CC(/N=N\2)=C(CCC3=C2C=C(N)C=C3)C=C1,7.76375e-06,MeCN,100.0,30.0,0.0,0.0,487.0,0.0,0.0,0.0,401.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC1=CC(CCC2=C3C=CC(N)=C2)=C(/N=N\3)C=C1,9.62704e-06,MeCN,100.0,25.0,0.0,0.0,475.0,0.0,0.0,0.0,400.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CO)C=C3,1.6889549999999998e-05,MeCN,100.0,83.0,0.0,0.0,485.0,0.0,0.0,0.0,404.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCO)C=C3)C=C1,1.15294e-05,MeCN,100.0,81.0,0.0,0.0,487.0,0.0,0.0,0.0,405.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N-]=[N+]=NCC(C=C1)=CC2=C1CCC3=C(/N=N\2)C=C(CN=[N+]=[N-])C=C3,1.719115e-05,MeCN,100.0,85.0,0.0,0.0,484.0,0.0,0.0,0.0,402.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[N-]=[N+]=NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN=[N+]=[N-])C=C3)C=C1,1.375292e-05,MeCN,100.0,82.0,0.0,0.0,489.0,0.0,0.0,0.0,405.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCC1=CC(/N=N\2)=C(CCC3=C2C=C(CN)C=C3)C=C1,1.309802e-05,MeCN,100.0,81.0,0.0,0.0,488.0,0.0,0.0,0.0,405.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NCCC1=CC(/N=N\2)=C(CCC3=C2C=C(CCN)C=C3)C=C1,1.906345e-05,MeCN,100.0,78.0,0.0,0.0,485.0,0.0,0.0,0.0,400.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=CC1=CC(/N=N\2)=C(CCC3=C2C=C(C=C)C=C3)C=C1,1.469778e-05,MeCN,100.0,74.0,0.0,0.0,484.0,0.0,0.0,0.0,403.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)(C)OCC1=CC(/N=N\2)=C(CCC3=C2C=C(COC(C)(C)C)C=C3)C=C1,1.887656e-05,MeCN,100.0,82.0,0.0,0.0,487.0,0.0,0.0,0.0,403.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(OCCC1=CC=C2CCC3=CC=C(CCOC(C)(C)C)C=C3/N=N\C2=C1)(C)C,1.21095e-05,MeCN,100.0,81.0,0.0,0.0,488.0,0.0,0.0,0.0,405.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(NC(C=C1)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2)=O,0.0001013373,DMSO,0.0,0.0,338.0,16170.0,480.0,4030.0,0.0,0.0,0.0,0.0,0.0,530-560,450-460,DMSO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(NC(C=C1OC)=CC(OC)=C1/N=N/C2=C(OC)C=C(NC(C)=O)C=C2OC)=O,5.73038e-07,DMSO,80.0,85.0,345.0,0.0,490.0,0.0,320.0,0.0,450.0,0.0,0.0,530-560,450-460,DMSO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(C=CN=C1)=C1/N=N/C2=CC=CC=C2,8.767799999999999e-09,toluene,90.0,87.0,332.0,11535.0,443.0,609.0,0.0,0.0,430.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1(/N=N/C2=CC=CC=C2)=CC=CN=C1,8.44478e-07,toluene,63.0,80.0,322.0,37246.0,448.0,923.0,0.0,0.0,440.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.92541e-06,toluene,72.0,83.0,322.0,14151.0,455.0,328.0,0.0,0.0,436.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.09307e-07,toluene,75.0,75.0,323.0,14964.0,453.0,530.0,300.0,0.0,442.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.6742700000000004e-06,toluene,81.0,81.0,330.0,14540.0,0.0,0.0,0.0,0.0,432.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C)C1=C(/N=N/C2=CC=CC=C2)C=NC=C1,6.211e-06,toluene,63.0,63.0,313.0,7580.0,404.0,5310.0,0.0,0.0,400.0,0.0,0.0,365,440,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(N(CCC)C=C1/N=N/C2=CC=C(C(C)(C)C)C=C2)NC1=O,9.8739e-07,toluene,100.0,100.0,375.0,0.0,450.0,0.0,0.0,0.0,450.0,0.0,0.0,600,430,toluene,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O=C(COC1=C(/N=N\C2=C(OC3)C=CC=C2)C=CC=C1)O[C@H]4[C@H](OCC5=CC=CC=C5)[C@@H](OCC6=CC=CC=C6)[C@H](SC7=CC=CC=C7)O[C@@H]4COC3=O,1.573046e-07,MeCN,95.0,53.0,310.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,365,435,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(F)C=CC=C2,4.55e-05,0,90.0,75.0,334.0,0.0,418.0,0.0,287.0,0.0,442.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,0.00185,0,87.0,74.0,334.0,0.0,417.0,0.0,292.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,0.00162,0,85.0,96.0,330.0,0.0,426.0,0.0,293.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(Cl)C=CC=C2,0.00403,0,84.0,86.0,339.0,0.0,426.0,0.0,292.0,0.0,432.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Cl)=CC=C2,0.0114,0,80.0,77.0,336.0,0.0,418.0,0.0,290.0,0.0,418.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,0.0016699999999999998,0,90.0,94.0,336.0,0.0,430.0,0.0,295.0,0.0,439.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.00429,0,88.0,72.0,340.0,0.0,424.0,0.0,289.0,0.0,431.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,0.0587,0,86.0,73.0,335.0,0.0,416.0,0.0,296.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,0.00179,0,92.0,72.0,337.0,0.0,416.0,0.0,293.0,0.0,440.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,0.00288,0,86.0,69.0,330.0,0.0,412.0,0.0,292.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,0.328,0,41.0,87.0,335.0,0.0,428.0,0.0,327.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,0.00265,0,83.0,86.0,332.0,0.0,419.0,0.0,294.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0296,0,79.0,80.0,334.0,0.0,392.0,0.0,297.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,0.00104,0,92.0,56.0,350.0,0.0,421.0,0.0,294.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,0.00297,0,85.0,65.0,330.0,0.0,419.0,0.0,292.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,0.0012,0,92.0,68.0,342.0,0.0,403.0,0.0,301.0,0.0,441.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,0.00692,0,92.0,80.0,336.0,0.0,423.0,0.0,292.0,0.0,435.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,0.00199,0,88.0,61.0,331.0,0.0,419.0,0.0,292.0,0.0,441.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,0.00145,0,90.0,73.0,335.0,0.0,416.0,0.0,295.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,0.0304,0,81.0,65.0,332.0,0.0,419.0,0.0,295.0,0.0,435.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
